FILE     : ETPOLUT1.DAT
STATUS   : 1997.03.16                                       
CONTENTS : Pole coordinates and earth rotation,                                  
           one day sampling interval, given at 0 hours UTC.             
                                                                                
           The pole coordinates, UT1-UTC and TAI-UT1 have been taken from 
           files EOPC04.xx (xx = year), transferred from IERS via INTERNET 
           to Karlsruhe at 19941108, 19950310, 19951011, 19960218, 19970305
           and transformed to current format using program IERS.FOR. 
                          
           Adress: 145.238.2.21
           login:  anonymous
           password: wenzel gik karlsruhe
           directory: cd iers cd old
                                                      
           Start: 19720101  MJD = 41317.000                                     
           End  : 19970228  MJD = 50507.000                                     

           Span :                  9190.000 days  = 25.16 years                  
                                                                                
Date     Time    MJD          x         y       UT1-UTC   TAI-UT1                                   
                             ["]       ["]      [SEC]     [SEC]                                   
C****************************************************************************** 
19720710 000000 41508.000  -0.02430   0.38800  0.337892 10.662108
19720711 000000 41509.000  -0.02120   0.38940  0.335605 10.664395
19720712 000000 41510.000  -0.01810   0.39070  0.333217 10.666783
19720713 000000 41511.000  -0.01490   0.39190  0.330673 10.669327
19720714 000000 41512.000  -0.01180   0.39320  0.328014 10.671986
19720715 000000 41513.000  -0.00870   0.39430  0.325305 10.674695
19720716 000000 41514.000  -0.00560   0.39550  0.322629 10.677371
19720717 000000 41515.000  -0.00250   0.39660  0.320033 10.679967
19720718 000000 41516.000   0.00060   0.39760  0.317573 10.682427
19720719 000000 41517.000   0.00370   0.39860  0.315252 10.684748
19720720 000000 41518.000   0.00670   0.39960  0.313095 10.686905
19720721 000000 41519.000   0.00980   0.40050  0.311076 10.688924
19720722 000000 41520.000   0.01280   0.40130  0.309133 10.690867
19720723 000000 41521.000   0.01580   0.40210  0.307218 10.692782
19720724 000000 41522.000   0.01880   0.40290  0.305259 10.694741
19720725 000000 41523.000   0.02180   0.40360  0.303170 10.696830
19720726 000000 41524.000   0.02470   0.40420  0.300881 10.699119
19720727 000000 41525.000   0.02760   0.40480  0.298345 10.701655
19720728 000000 41526.000   0.03050   0.40540  0.295549 10.704451
19720729 000000 41527.000   0.03330   0.40590  0.292529 10.707471
19720730 000000 41528.000   0.03610   0.40630  0.289354 10.710646
19720731 000000 41529.000   0.03880   0.40670  0.286146 10.713854
19720801 000000 41530.000   0.04150   0.40710  0.283017 10.716983
